"°íÀ¯¹øÈ£","¾ğ¾î","»óÈ£¸í","ÄÜÅÙÃ÷URL","ÁÖ¼Ò","½ÅÁÖ¼Ò","ÀüÈ­¹øÈ£","À¥»çÀÌÆ®","¿î¿µ½Ã°£","±³ÅëÁ¤º¸","È¨ÆäÀÌÁö ¾ğ¾î","´ëÇ¥¸Ş´º"
"32418","zh-CN","?ß¾å¥ÒöıŞÓğîÜ??ÓÛøúàõå¨á²??","","  ","  ","","","","","",""
"6247","zh-CN","Ù¥Ô×Õ¸ú­??(Myeongdonghaemultang)","https://chinese.visitseoul.net/restaurants/Ù¥Ô×Õ¸ú­??Myeongdonghaemultang/CNP006246?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP006246","100-022 âÏ?÷å?ã¼ñé?Ù¥Ô×ì£Ê¶ 32-8","04536 âÏ?ã¼ñé?Ù¥Ô×8Ê¶11-6 ","+82-2-776-3896","","10:00 ~ 24:00 (KST)","4?? Ù¥Ô× 6õóÏ¢  ","","ú­??"
"1099","ja","«±«ß«¸«×","https://japanese.visitseoul.net/restaurants/«±«ß«Á«Ö/JPP001095?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP001095","135-888 «½«¦«ëã¼Ë°Ñõ?ãæŞŞÔ×528-4 ","06028 «½«¦«ëã¼«««ó«Ê«à(Ë°Ñõ)?«¢«Ã«¯«¸«ç«ó«í110  (ãæŞŞÔ×)","+82-2-541-5955","http://gaemizip.modoo.at/","16:30-24:00 KST","ò¢ù»?3?àÊ¡¸«·«ó«µ¡¹?8ÛãõóÏ¢","ùÛ?åŞ",""
"1102","ja","«³?«Ò?«Ñ«ó«¢«Ã«««ó ","https://japanese.visitseoul.net/restaurants/coffee-bangatgan-jp/JPP001097?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP001097","110-210 «½«¦«ëã¼ñ¤ÖØ?ü£Ô× 102-1","03053 «½«¦«ëã¼«Á«ç«ó«Î(ñ¤ÖØ)?«×«¯«Á«ç«ó«í5«¬«®«ë8-11 (ü£Ô×)","+82-2-732-7656","","8:30?23:00","ò¢ù»?3?àÊ¡¸«¢«ó«°«¯¡¹?2ÛãõóÏ¢ª«ªé600m","",""
"283","ja","«È«ó«¤«ó(÷×ìÒ)ã¼íŞ","https://japanese.visitseoul.net/restaurants/tongin-market-jp/JPP000281?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP000281","110-043 «½«¦«ëã¼ñ£ÖØ?÷×ìÒÔ×10-3 ","03036 «½«¦«ëã¼«Á«ç«ó«Î(ñ£ÖØ)?«Á«ã«Ï«à«ó«í15«®«ë18 (÷×ìÒÔ×)","+82-2-722-0911","https://tonginmarket.modoo.at/","07:00-21:00 KST ¡Ø ïÁ?ªËªèªêì¶ªÊªë ªªÜ§?«««Õ«§ªÎ?åöãÁÊà  ûı~ÑÑ 11:00-16:00 KST¡¢÷Ï~ìí 11:00-17:00 KST ¡Ø ªªÜ§?«««Õ«§ªÎ«³«¤«ó÷ü?ãÁÊàªÏ¡¢øÁìí 11:00¡©15:00 KST¡¢ñÎØÇ 11:00¡©16:00 KST","ò¢ù»?3?àÊ¡¸«­«ç«ó«Ü«Ã«¯«ó(ïÙİ¤«½«¦«ë??)¡¹?2ÛãõóÏ¢¡æ2ÛãªÈ3ÛãõóÏ¢ªÎÊàªÎ÷×ªêªòòÁòäª·«»«Ş«¦«ëÑÑÍ·ªÎª¢ªëÎßó¬ïÃªòñ§ï¹ª·ª¿ªÈª³ªíªËêÈöÇ ","ùÛ?åŞ",""
"1039","zh-CN","Salon de The","https://chinese.visitseoul.net/restaurants/Salon-de-The-CN/CNP001035?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP001035","100-721 ¼­¿ï Áß±¸ ¼Ò°øµ¿ 1 ","04533 âÏ?ñé?ëàò¨ÖØ30(?ô¸ñĞïÁ ) 14?","+82-2-759-7477","http://www.lottehotel.com/global/zh","12:00 - 18:00","2??ëàò¨ÖØìıÏ¢ó×7õóÏ¢","","?Òş"
"1048","ja","Queens Park ?ÓÁïÁ","https://japanese.visitseoul.net/restaurants/Queens-Park-?ÓÁïÁ/JPP001044?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP001044","135-954 «½«¦«ëã¼Ë°Ñõ??ÓÁÔ×83-18 ","06014 «½«¦«ëã¼«««ó«Ê«à(Ë°Ñõ)?«¢«Ã«¯«¸«ç«ó«í60«®«ë22 (?ÓÁÔ×)","+82-2-542-4074","","êÅèøìí?ÙÊèøìí 11:00-22:00 ÑÑèøìí 11:00-23:00 ÷Ïèøìí 10:00-23:00 ìíèøìí 10:00-22:00","ò¢ù»?3?àÊ¡¸«¢«Ã«¯«¸«ç«ó¡¹?3ÛãõóÏ¢ «×«ó«À«óàÊ¡¸«½«¦«ë«¹«×¡¹?3Ûã¡¢4ÛãõóÏ¢","","à¤åÇãÒÖù×â"
"6821","zh-CN","Sabal","https://chinese.visitseoul.net/restaurants/Sabal/CNP006818?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP006818","110-872 âÏ?÷å?ã¼?ÖØ??âÍÔ× 72??ı÷?îÜğÄß¾","110-872 âÏ?ã¼?ÖØ?ŞäòÃÖØ8Ê¶34 ","+82-507-1317-4845","","øÁìí 11:30~21:00 KST ñ²ØÇ/Ê£Ñ¢ 11:30~20:00 KST","3?? ÌØÜØ? 7õóÏ¢  ","",""
"11999","ko","¿Ã¶ó","https://korean.visitseoul.net/restaurants/¿Ã¶ó/KOP011999?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP011999","150-916 ¼­¿ï ¿µµîÆ÷±¸ ¿©ÀÇµµµ¿ 17 ","07236 ¼­¿ï ¿µµîÆ÷±¸ ÀÇ»ç´ç´ë·Î 38 (¿©ÀÇµµµ¿, ¿©ÀÇµµ´õ¼¥¾ÆÀÏ·£µåÆÄÅ©) ","0507-1425-7220","http://www.ola.kr/main_idx.php","ÆòÀÏ  11:30~14:30, 17:30~22:00 / ÁÖ¸» 11:30~15:00, 17:00~22:00","9È£¼± ±¹È¸ÀÇ»ç´ç¿ª 4¹ø Ãâ±¸","","ÂüÄ¡ Å¸¸£Å¸¸£, ´ß°¡½¿»ì°ú ¼öÁ¦ ¸®ÄÚÅ¸ Ä¡Áî"
"12029","zh-TW","Ola","https://tchinese.visitseoul.net/restaurants/Ola-TC/TCP011999?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP011999","150-916 âÏì³ã¼çµÔôøİÏ¡æ£ëøÓöÔ×17 ","07236 âÏì³ã¼çµÔôøİÏ¡ì¡ŞÀÓÑÓŞÖØ38 ","+82-507-1425-7220","http://www.ola.kr/main_idx.php","øÁìí11:30~14:30¡¢17:30~22:00/ñÎØÇ11:30~15:00¡¢17:00~22:00 KST","ò¢ôÑ9ûÜàÊÏĞüåì¡ŞÀÓÑó×4ûÜõóÏ¢","ùÛÙş",""
"11270","ko","ÄË½ÌÅÏ È£ÅÚ ´º¿å´º¿å","https://korean.visitseoul.net/restaurants/·º½ÌÅÏ-È£ÅÚ-´º¿å´º¿å-K/KOP011268?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP011268","150-870 ¼­¿ï ¿µµîÆ÷±¸ ¿©ÀÇµµµ¿ 13-3 1Ãş","07238 ¼­¿ï ¿µµîÆ÷±¸ ±¹È¸´ë·Î76±æ 16 ÄË½ÌÅÏÈ£ÅÚ 1Ãş","02-6670-7270","https://www.kensington.co.kr/hyd/dining/detail?idx=29","11:30 ~ 21:00","9È£¼± ±¹È¸ÀÇ»ç´ç¿ª1¹øÃâ±¸ ","ÇÑ±¹¾î, ¿µ¾î, Áß±¹¾î, ÀÏº»¾î","·¯ºê ÀÎ ´º¿å(1ÀÎ ±âÁØ) - 159,000¿ø"
"8816","zh-CN","???ÜâÊ« ","https://chinese.visitseoul.net/restaurants/???ÜâÊ«/CNP008782?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP008782","100-871 âÏ?ñé???Ô× 1685 ","04573 âÏ?ã¼ñé??Í¢ÖØ201  ","+82-2-2232-3232","http://www.bossam.co.kr ","11:30~22:30 KST","1?? ãæ?Ô×ó×6?õóÏ¢  ","","óøøĞë¿ îÄğ´ "
"6948","ko","»ê°ñ¸·±¹¼ö","https://korean.visitseoul.net/restaurants/»ê°ñ¸é¿Á/KOP006945?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP006945","110-826 ¼­¿ï Á¾·Î±¸ ¼şÀÎµ¿ 278 ","03114 ¼­¿ï Á¾·Î±¸ Á¾·Î56±æ 5-7 ","02-749-6033","","11:30 ~ 21:00","1, 6È£¼± µ¿¹¦¾Õ¿ª 3¹ø Ãâ±¸   ","","¸·±¹¼ö, ¸¸µÔ±¹, ¸¸µÎ, °¨ÀÚÀü, ¸ğµÒÀü, ÆÄÀü, ¸·±¹¼ö¹«Ä§, ¸·±¹¼öÀï¹İ, ´ß¹«Ä§, ´ßººÀ½ÅÁ"
"6979","zh-CN","Ë°à¤Øüè©","https://chinese.visitseoul.net/restaurants/Gangseomyeonok-CN/CNP006962?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP006962","100-814 âÏ?ñé?à¤á³?Ô× 120-15 ","04513 âÏ?ã¼ñé?á¦ğóÓŞÖØ11Ê¶35 ","+82-2-752-1945","","11:00~15:00, 17:00~22:00 KST","1,2?? ã¼ïÙİ¤ó×9?õóÏ¢   ","","â©ÕÒØü 8,500?êª Şã??í­ 12,000?êª ãæ??éÚÛÉÍé 45,000?êª"
"6989","ja","«Õ«¡«ó«½«Á«Ö","https://japanese.visitseoul.net/restaurants/«Õ«¡«ó«½«Á«Ö/JPP006987?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP006987","04557 «½«¦«ëã¼ñé?õ÷ÙëÖØ3Ê¶36-4 ","04557 «½«¦«ëã¼«Á«å«ó(ñé)?«Á«å«ó«à«í2«®«ë2 ","+82-2-2273-0929","","11:00 ~ 22:00 (KST)","ò¢ù»?3?àÊ/4?àÊ¡¸«Á«å«ó«à«í¡¹?8ÛãõóÏ¢ ","","«È«¬«Ë«¿«ó¡¢«È«¬«Ë«Á«à¡¢÷©ûıßæ«í?«¹"
"5529","zh-TW","Cafe Monday To Sunday","https://tchinese.visitseoul.net/restaurants/Cafe-Monday-To-Sunday4/TCP005525?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP005525","135-517 âÏì³÷åÜ¬ã¼Ë°ÑõÏ¡ôèÓÁÔ× 93-13","06016 âÏì³ã¼Ë°ÑõÏ¡Óöß£ÓŞÖØ67Ê¶13-3 ","+82-507-1353-2217","","11:00 ~ 23:00 (KST)","3ûÜàÊ ääÏÎïÍ 3ûÜõóÏ¢  ","","??ôæ"
"29980","en","Kervan Itaewon Branch","https://english.visitseoul.net/restaurants/Kervan-Itaewon/ENP029949?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP029949","140-858 127-2, Itaewon-dong, Yongsan-gu, Seoul ","04406 192, Itaewon-ro, Yongsan-gu, Seoul ","+82-2-792-4767","","11:00-22:00 (KST)","Subway Line 6, Itaewon Station, Exit 3","",""
"32647","zh-CN","ãæÓÑÔ×Õ¸õ¤Ò´?ìé?Ê¶","","  ","  ","","","","","",""
"32708","zh-CN","??êíÎùîÜ??ñĞ<??îÜ??ñĞ>","","  ","  ","","","","","",""
"7265","zh-CN","Pakußµ??(Pakumori Curry)","https://chinese.visitseoul.net/restaurants/Pakußµ??Pakumori-Curry/CNP007265?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP007265","  411-15","04053 âÏ?ã¼Ø«øİ?ûú?ïÔêÂÖØ132-1 ","+82-2-322-5001","","KST 10:30~21:30","2??ûğÓŞìıÏ¢ó×8?õóÏ¢  ","","??"
"8052","zh-TW","ìéù¡ÓÑ","https://tchinese.visitseoul.net/restaurants/Ilpumdang-TC/TCP008008?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP008008","110-071 âÏì³ã¼ñ¤ÖØÏ¡ÓĞñÁÔ×16-1 ","03183 âÏì³ã¼ñ¤ÖØÏ¡á¦ğóÓŞÖØ23Ê¶25 ","+82-2-733-4949","http://www.ilpumdang.com","11:30~15:00 / 17:00~22:00","ò¢ôÑ5ûÜàÊÎÃûùÚ¦ó×7ûÜõóÏ¢","ùÛÙş",""
"30966","en","Kali","https://english.visitseoul.net/restaurants/Kali-en/ENP030887?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP030887","110-524 171, Myeongnyun 4(sa)-ga, Jongno-gu, Seoul ","03079 43, Daehak-ro 11-gil, Jongno-gu, Seoul ","+82-2-747-5050","","Daily 11:30 - 21:10 (KST) (Break Time  15:40 - 17:00) (KST)","Subway Line 4, Hyehwa Station, Exit 4","",""
"13664","zh-CN","Ù¥Ô×ê¨??(Myeongdong Gomdori)","https://chinese.visitseoul.net/restaurants/Ù¥Ô×ê¨??Myeongdong-Gomdori/CNP013661?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP013661","137-070 âÏ?÷å?ã¼ßúõ®?ßúõ®Ô× 1696-5","06604 âÏ?ã¼ßúõ®?ßúõ®ÓŞÖØ55Ê¶11 ","+82-2-594-3989","","11:30 ~ 14:30 / 17:00 ~ 21:00 (KST)","2?? ?ëÀÓŞ? 4õóÏ¢  ","","Øü?"
"13742","en","Eunjujeong","https://english.visitseoul.net/restaurants/Eunjujeong/ENP013741?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP013741","100-330 Jugyo-dong, Jung-gu, Seoul 43-23","04546 32, Changgyeonggung-ro 8-gil, Jung-gu, Seoul ","+82-2-2265-4669","","11:30 - 22:00 (KST)","Line 2 Euljiro 4(sa)-ga Exit 4  ","","grilled pork belly"
"12705","en","Chakraa","https://english.visitseoul.net/restaurants/Chakraa1/ENP012701?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP012701","04419 28-9, Hannam-dong, Yongsan-gu, Seoul ","04419 83, Dokseodang-ro, Yongsan-gu, Seoul ","+82-2-796-1149","http://www.chakraa.co.kr/","Daily 12:00-15:00, 17:00-21:00 (KST)","Subway Line 6, Hangangjin Station, Exit 3  ","KOR",""
"12738","en","Hangangjip","https://english.visitseoul.net/restaurants/Hangang-Saengtae-EN/ENP012734?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP012734","140-011 Hangangno 1(il)-ga, Yongsan-gu, Seoul 257-9","04375 400, Baekbeom-ro, Yongsan-gu, Seoul ","+82-2-716-7452","","10:00 - 22:00 (KST)","Line 4 Samgakji Station Exit 8  ","","fresh pollock"
"1101","zh-CN","??Ê«","https://chinese.visitseoul.net/restaurants/Gaemijip-CN/CNP001095?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP001095","135-888  ","06028 âÏ?ã¼Ë°Ñõ?ää?ïÍÖØ110 ","+82-2-541-5955","http://gaemizip.modoo.at/","16:30~24:00 KST","3?? ãæŞŞó×8?õóÏ¢","",""
"1095","ko","°³¹ÌÁı","https://korean.visitseoul.net/restaurants/°³¹ÌÁı/KOP001095?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP001095","135-888 ¼­¿ï °­³²±¸ ½Å»çµ¿ 528-4 ","06028 ¼­¿ï °­³²±¸ ¾Ğ±¸Á¤·Î 110 (È­ÀÎºôµù) ","02-541-5955","http://gaemizip.modoo.at/","16:30~24:00","3È£¼± ½Å»ç¿ª 8¹ø Ãâ±¸ ","","¸Å¿î°¥³«Âò, ¸ğÂ¥·¼¶ó±èÄ¡Àü, È«¾î»ïÇÕ, Á¦Ã¶»ç½Ã¹Ì"
"1066","en","Dublin Terrace","https://english.visitseoul.net/restaurants/Dublin-Terrace/ENP001064?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP001064","135-908 635-6, Yeoksam-dong, Gangnam-gu, Seoul ","06130 27-15, Gangnam-daero 94-gil, Gangnam-gu, Seoul (Taeri Building)","+82-2-555-2553","","15:00-01:00 KST","Subway Line 2, Gangnam Station, Exits 11 & 12","",""
"1098","en","Gaemijip","https://english.visitseoul.net/restaurants/Gaemijip/ENP001095?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP001095","135-888 528-4, Sinsa-dong, Gangnam-gu, Seoul ","06028 110, Apgujeong-ro, Gangnam-gu, Seoul ","+82-2-541-5955","http://gaemizip.modoo.at/","16:30-24:00 KST","Subway Line 3, Sinsa Station, Exit 8","KOR",""
"1719","zh-TW","çéá¦Í£úÅ","https://tchinese.visitseoul.net/restaurants/Ohsaegyehyang-TC/TCP001670?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP001670","110-300 âÏì³ã¼ñ¤ÖØÏ¡Î°ı³Ô×59 ","03146 âÏì³ã¼ñ¤ÖØÏ¡ìÒŞÑÔ×12Ê¶14-5  ","+82-2-735-7171","http://www.go5.co.kr/ ","11:30~16:00, 17:00~21:00 KST","ò¢ôÑ3ûÜàÊäÌÏĞó×6ûÜõóÏ¢","ùÛÙş",""
"6578","ja","«Ú«¬«à¡¤«ï«ó«¹«ó«Ç","https://japanese.visitseoul.net/restaurants/«Ú«¬«à¡¤«ï«ó«¹«ó«Ç/JPP006555?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP006555","120-825 «½«¦«ëã¼à¤ÓŞÚ¦?æÅıûÔ×122-18 ","03703 «½«¦«ëã¼«½«Ç«à«ó(à¤ÓŞÚ¦)?«Á«å«ó«¬«í13-6 (æÅıûÔ×)","+82-2-337-7894","","KST 09:30~21:30","ò¢ù»?2?àÊ¡¸«Û«ó«Ç«¤«×«¯¡¹?3ÛãõóÏ¢","","«¹«ó«Ç«¯«¯¡¢«â«É«¥«à«¹«æ«¯(ªæªÇë¿ªÎàüªêùêªïª»)¡¢«ª«ë«¯«Ë«¿«ó(«Ô«êãô«¹?«×)"
"8710","zh-CN","?úûØ²îÜää?ïÍ??ïÁ(Heohyeongmanui Apgujeong Coffeejip)","https://chinese.visitseoul.net/restaurants/Heohyeongmanui-Apgujeong-Coffeejip-CN/CNP008682?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP008682","135-786 âÏ?ã¼Ë°Ñõ?ää?ïÍÔ× 426 ","06001 âÏ?ã¼Ë°Ñõ?ää?ïÍÖØ151 ","+82-507-1367-5078","","ñ²ñé 08:00 ~ 19:00 (KST) àøÑ¢×¿ 08:00 ~ 18:00 (KST)","3??ää?ïÍó×6õóÏ¢","",""
"7447","zh-TW","èÙÙ°ÕÙú­úòñıÖØ(ß²à÷İÂïÁ)","https://tchinese.visitseoul.net/restaurants/Wooldolmok-TC/TCP007278?utm_source=seoulopendata&utm_medium=restaurants&utm_content=TCP007278","137-070 âÏì³ã¼ßúõ®Ï¡ßúõ®Ô×1543-1£¨yil-heongÓŞ×§ò¢ù»1öµ£© ","06648 âÏì³ã¼ßúõ®Ï¡ÚïøİÓŞÖØ28Ê¶8 ","+82-2-521-6032","","øÁìí 11:30 ~ 15:00 / 17:00 ~ 22:00 (KST) ñÎØÇ 11:30 ~ 15:00 / 17:00 ~ 21:00 (KST)","ò¢ôÑ2ûÜàÊßúõ®ó×2ûÜõóÏ¢","",""
"3860","en","La Main Douce","https://english.visitseoul.net/restaurants/La-Main-Douce1/ENP003860?utm_source=seoulopendata&utm_medium=restaurants&utm_content=ENP003860","121-836 Seogyo-dong, Mapo-gu, Seoul 334-13","121-836 26, Wausan-ro 27-gil, Mapo-gu, Seoul ","+82-2-336-0314","","16:00~23:00 weekend 14:00~23:00 (KST)","Line 2 Hong-ik Univ. Exit 7, 8  ","","dessert caf?"
"6272","zh-CN","Bookdang","https://chinese.visitseoul.net/restaurants/Bookdang-CN/CNP006272?utm_source=seoulopendata&utm_medium=restaurants&utm_content=CNP006272","06170 âÏ?÷å?ã¼Ë°Ñõ?ß²àòÔ× 162-25","06170 âÏ?ã¼Ë°Ñõ?çµ?ÓŞÖØ106Ê¶41 ","+82-2-558-9944","","12:00 - 22:00 (KST)","2?? ß²à÷ 7õóÏ¢  9?? ÜåëÚŞÑ 5?õóÏ¢ÜÆú¼5İÂ?  ","","ÓŞ?Úå? "
"6298","ja","«Ê«ê«¨¡¤«Á«Ö","https://japanese.visitseoul.net/restaurants/«Ê«ê«¨¡¤«Á«Ö-JP/JPP006294?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP006294","140-893 738-24, Hannam-dong, Yongsan-gu, Seoul, Korea 738-24","04348 «½«¦«ëã¼«è«ó«µ«ó«°(×£ß£?)«¤«Æ«¦«©«ó«í245 ","+82-2-793-4860","","êÅ~÷Ï 14:00 ~ 24:00 (KST) ìíèøìí 16:00 ~ 24:00 (KST)","6?àÊ «Ï«ó«¬«ó«¸«ó 1ÛãõóÏ¢  ","","ùÛ?Öù×âìéÚõ"
"7431","ja","«Ï«Ê«í?Î½","https://japanese.visitseoul.net/restaurants/hanaro-hwaegwan-jp/JPP007430?utm_source=seoulopendata&utm_medium=restaurants&utm_content=JPP007430","110-290 «½«¦«ëã¼ñ¤ÖØ?ìÒŞÑÔ× 194-4 «Ï«Ê«í«Ó«ëò¢ù»1Í­","03162 «½«¦«ëã¼«Á«ç«ó«Î(ñ¤ÖØ)?«¤«ó«µ«É«ó5«®«ë25 (ìÒŞÑÔ×)","+82-507-1402-7451","http://www.ÇÏ³ª·ÎÈ¸°ü.kr/","11:30 ~ 15:00 / 17:00 ~ 21:30 (KST)","ò¢ù»?1?àÊ¡¸«Á«ç«ó«¬«¯¡¹?3ÛãõóÏ¢ª«ªéÓù?3İÂ  ","ùÛ?åŞ",""
